EQUIPO,Los Leones FC

NOMBRE,N° CAMISETA,DOCUMENTO,POSICION,FECHA NACIMIENTO,TELEFONO,PIERNA HABIL,ALTURA CM,TIPO SANGRE,EPS,CONTACTO EMERGENCIA,ALERGIAS
"Miguel Ángel Vega",14,1001112012,DELANTERO,2002-11-15,3208887777,IZQUIERDA,178,B+,Sura,"Elena Vega - 3203338888",Ninguna
"Ricardo Durán",15,1001112013,DEFENSOR,2000-05-30,3019992222,DERECHA,177,O-,Compensar,"José Durán - 3014441111",Penicilina

EQUIPO,Rayo de Luna

NOMBRE,N° CAMISETA,DOCUMENTO,POSICION,FECHA NACIMIENTO,TELEFONO,PIERNA HABIL,ALTURA CM,TIPO SANGRE,EPS,CONTACTO EMERGENCIA,ALERGIAS
"Fernando Castro",1,2002111001,ARQUERO,1996-03-12,3101115555,DERECHA,190,A+,Sura,"Carmen Castro - 3101116666",Ninguna
"José Antonio Méndez",2,2002111002,DELANTERO,2001-09-25,3112226666,IZQUIERDA,171,O+,Nueva EPS,"Teresa Méndez - 3112227777",Ninguna
"Ricardo Salazar",3,2002111003,DEFENSOR,1999-07-14,3123337777,DERECHA,183,B+,Sanitas,"Luis Salazar - 3123338888",Ácaros
"Oscar Velásquez",4,2002111004,MEDIOCAMPISTA,2000-12-03,3134448888,DERECHA,174,AB-,Dupoint,"Marta Velásquez - 3134449999",Ninguna
"Roberto Suárez",5,2002111005,DEFENSOR,1998-08-19,3145550000,IZQUIERDA,180,A-,Compensar,"Sofía Suárez - 3145551111",Penicilina
"Eduardo Ramírez",6,2002111006,MEDIOCAMPISTA,2002-04-21,3156662222,DERECHA,169,O-,Sura,"Patricia Ramírez - 3156663333",Ninguna
"Manuel Torres",7,2002111007,DELANTERO,2001-11-08,3167774444,IZQUIERDA,175,B+,Sanitas,"Jorge Torres - 3167775555",Ninguna
"Álvaro Ríos",8,2002111008,DEFENSOR,1997-02-16,3178886666,DERECHA,184,A+,Nueva EPS,"Valentina Ríos - 3178887777",Látex
"César Mendoza",9,2002111009,MEDIOCAMPISTA,2000-06-29,3189998888,AMBIDESTRO,172,O+,Dupoint,"Gustavo Mendoza - 3189990000",Ninguna
"Darío Acosta",10,2002111010,ARQUERO,1999-10-11,3191112222,DERECHA,187,AB+,Compensar,"Isabel Acosta - 3191113333",Ninguna
"Brayan Correa",11,2002111011,DELANTERO,2002-08-05,3202224444,IZQUIERDA,170,A-,Sura,"Angélica Correa - 3202225555",Ninguna
"Deimer Pereira",12,2002111012,DEFENSOR,2001-01-20,3213336666,DERECHA,176,B-,Sanitas,"Luz Pereira - 3213337777",Ninguna
"Harold Suárez",13,2002111013,MEDIOCAMPISTA,1999-05-15,3224448888,DERECHA,173,O+,Nueva EPS,"Hugo Suárez - 3224449999",Ninguna

EQUIPO,Estrella Norte

NOMBRE,N° CAMISETA,DOCUMENTO,POSICION,FECHA NACIMIENTO,TELEFONO,PIERNA HABIL,ALTURA CM,TIPO SANGRE,EPS,CONTACTO EMERGENCIA,ALERGIAS
"Mario Quintero",1,3003111001,DELANTERO,2000-02-28,3011113333,DERECHA,172,O+,Sura,"Rosa Quintero - 3011114444",Ninguna
"Leonel Castro",2,3003111002,ARQUERO,1998-09-09,3022224444,IZQUIERDA,186,A+,Nueva EPS,"Jaime Castro - 3022225555",Ninguna
"Wilson Bayona",3,3003111003,DEFENSOR,2001-04-17,3033335555,DERECHA,179,B+,Compensar,"Marleny Bayona - 3033336666",Sulfas
"Jairo López",4,3003111004,MEDIOCAMPISTA,1999-12-22,3044446666,IZQUIERDA,171,A-,Sanitas,"Esperanza López - 3044447777",Ninguna
"Andrés Morales",5,3003111005,DELANTERO,2002-07-01,3055557777,DERECHA,167,O+,Dupoint,"Héctor Morales - 3055558888",Ninguna
"Carlos Suárez",6,3003111006,DEFENSOR,2000-10-13,3066668888,DERECHA,182,AB-,Nueva EPS,"Luz Marina Suárez - 3066669999",Ninguna
"Felipe Reyes",7,3003111007,MEDIOCAMPISTA,1997-03-30,3077770000,AMBIDESTRO,174,O-,Sura,"Pilar Reyes - 3077771111",Ninguna
"Jorge Paredes",8,3003111008,DELANTERO,2001-05-19,3088881111,IZQUIERDA,170,A+,Compensar,"Raúl Paredes - 3088882222",Ninguna
"Ramiro Castillo",9,3003111009,DEFENSOR,1999-08-27,3099993333,DERECHA,180,B-,Sanitas,"Ofelia Castillo - 3099994444",Ninguna
"Ángel Cabrera",10,3003111010,ARQUERO,2002-01-05,3101115555,DERECHA,185,AB+,Dupoint,"Claudia Cabrera - 3101116666",Ninguna
"Roberto Gómez",11,3003111011,MEDIOCAMPISTA,2000-06-11,3112227777,DERECHA,172,A-,Nueva EPS,"Wendy Gómez - 3112228888",Ninguna
"Jhon Ramírez",12,3003111012,DEFENSOR,1998-11-24,3123339999,IZQUIERDA,178,O+,Sura,"Mónica Ramírez - 3123330000",Ninguna
"Fabio Torres",13,3003111013,DELANTERO,2001-12-02,3134441111,DERECHA,173,A+,Compensar,"Orlando Torres - 3134442222",Ninguna
